,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b0511,U00096.3,537633,539087,+,allW,,allantoin transporter,AAC73613.2,316407.85674649,0.0,944.0,"COG1953@1|root,COG1953@2|Bacteria,1MV18@1224|Proteobacteria,1RMZU@1236|Gammaproteobacteria,3XQNS@561|Escherichia",2|Bacteria,FH,Allantoin transport protein,ybbW,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015205,GO:0015851,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944",-,"ko:K03457,ko:K10975",-,-,-,-,"ko00000,ko02000","2.A.39,2.A.39.3.8",-,"iAPECO1_1312.APECO1_1504,iE2348C_1286.E2348C_0444,iECABU_c1320.ECABU_c05900,iECNA114_1301.ECNA114_0488,iECOK1_1307.ECOK1_0493,iECP_1309.ECP_0571,iECS88_1305.ECS88_0510,iECSF_1327.ECSF_0473,iLF82_1304.LF82_2567,iNRG857_1313.NRG857_02415,iUMN146_1321.UM146_14805,iUTI89_1310.UTI89_C0539,ic_1306.c0625",Transp_cyt_pur
b0512,U00096.3,539147,540508,+,allB,,allantoinase,AAC73614.1,316407.85674650,0.0,923.0,"COG0044@1|root,COG0044@2|Bacteria,1MW10@1224|Proteobacteria,1RMQC@1236|Gammaproteobacteria,3XQC8@561|Escherichia",2|Bacteria,F,Catalyzes the conversion of allantoin (5- ureidohydantoin) to allantoic acid by hydrolytic cleavage of the five-member hydantoin ring,allB,"GO:0000255,GO:0000256,GO:0003674,GO:0003824,GO:0004038,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006144,GO:0006145,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009112,GO:0009442,GO:0009987,GO:0016787,GO:0016810,GO:0016812,GO:0017144,GO:0019439,GO:0034641,GO:0042737,GO:0043167,GO:0043169,GO:0043603,GO:0043605,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0046113,GO:0046483,GO:0046700,GO:0046872,GO:0046914,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575",3.5.2.5,ko:K01466,"ko00230,ko01100,ko01120,map00230,map01100,map01120",M00546,R02425,RC00680,"ko00000,ko00001,ko00002,ko01000",-,-,iEC042_1314.EC042_0555,Amidohydro_1
b0513,U00096.3,540565,541866,+,ybbY,,putative purine transporter,AAC73615.2,316407.85674651,2.27e-305,833.0,"COG2233@1|root,COG2233@2|Bacteria,1PD7V@1224|Proteobacteria,1RZ18@1236|Gammaproteobacteria,3XQPF@561|Escherichia",2|Bacteria,F,xanthine transmembrane transporter activity,ybbY,"GO:0003674,GO:0005215,GO:0005345,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006863,GO:0008150,GO:0015205,GO:0015851,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0042906,GO:0042907,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072530,GO:1904823",-,-,-,-,-,-,-,-,-,-,Xan_ur_permease
b0514,U00096.3,541888,543033,+,glxK,,glycerate 2-kinase 2,AAC73616.1,316407.85674652,2.25e-265,728.0,"COG1929@1|root,COG1929@2|Bacteria,1MVG9@1224|Proteobacteria,1RMC6@1236|Gammaproteobacteria,3XMNZ@561|Escherichia",2|Bacteria,G,Belongs to the glycerate kinase type-1 family,glxK,"GO:0003674,GO:0003824,GO:0005975,GO:0006066,GO:0006081,GO:0006082,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009436,GO:0009441,GO:0009987,GO:0016052,GO:0016054,GO:0016301,GO:0016310,GO:0016491,GO:0016661,GO:0016662,GO:0016740,GO:0016772,GO:0017144,GO:0019392,GO:0019394,GO:0019577,GO:0019579,GO:0019580,GO:0019752,GO:0032787,GO:0034308,GO:0034310,GO:0042737,GO:0042836,GO:0042838,GO:0043436,GO:0043648,GO:0043649,GO:0043798,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046164,GO:0046185,GO:0046296,GO:0046392,GO:0046395,GO:0046487,GO:0055114,GO:0071704,GO:0072329,GO:1901575,GO:1901615,GO:1901616",2.7.1.165,ko:K00865,"ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130",-,R08572,"RC00002,RC00428","ko00000,ko00001,ko01000",-,-,"iECO103_1326.ECO103_0486,iECs_1301.ECs4002,iG2583_1286.G2583_3846",Gly_kinase
b0515,U00096.3,543261,544046,-,allE,,(S)-ureidoglycine aminohydrolase,AAC73617.1,316407.85674653,4.89e-195,540.0,"COG3257@1|root,COG3257@2|Bacteria,1MW60@1224|Proteobacteria,1RQFK@1236|Gammaproteobacteria,3XQS8@561|Escherichia",2|Bacteria,S,"Involved in the anaerobic nitrogen utilization via the assimilation of allantoin. Catalyzes the second stereospecific hydrolysis reaction (deamination) of the allantoin degradation pathway, producing S-ureidoglycolate and ammonia from S- ureidoglycine",ylbA,"GO:0003674,GO:0003824,GO:0005488,GO:0016787,GO:0016810,GO:0016813,GO:0030145,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0071522",3.5.3.26,ko:K14977,"ko00230,ko01120,map00230,map01120",-,R05554,RC01419,"ko00000,ko00001,ko01000",-,-,-,"Cupin_2,Cupin_3"
b0516,U00096.3,544057,545292,-,allC,,allantoate amidohydrolase,AAC73618.1,316407.85674654,3.61e-309,841.0,"COG0624@1|root,COG0624@2|Bacteria,1MVUX@1224|Proteobacteria,1RPPD@1236|Gammaproteobacteria,3XPWH@561|Escherichia",2|Bacteria,E,"Involved in the anaerobic nitrogen utilization via the assimilation of allantoin. Catalyzes specifically the hydrolysis of allantoate to yield CO2, NH3 and S-ureidoglycine, which is unstable and readily undergoes a second deamination by S-ureidoglycine aminohydrolase AllE to yield S-ureidoglycolate and NH3. In vivo, the spontaneous release of S-ureidoglycolate and ammonia from S- ureidoglycine appears to be too slow to sustain an efficient flux of nitrogen",allC,"GO:0000255,GO:0000256,GO:0003674,GO:0003824,GO:0005488,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009442,GO:0009987,GO:0016787,GO:0016810,GO:0016813,GO:0017144,GO:0030145,GO:0034641,GO:0042737,GO:0043167,GO:0043169,GO:0043603,GO:0043605,GO:0044237,GO:0044248,GO:0044270,GO:0046483,GO:0046700,GO:0046872,GO:0046914,GO:0047652,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575","3.5.1.6,3.5.1.87,3.5.3.9","ko:K02083,ko:K06016","ko00230,ko00240,ko01100,ko01120,map00230,map00240,map01100,map01120",M00046,"R00905,R02423,R04666","RC00064,RC00096","ko00000,ko00001,ko00002,ko01000,ko01002",-,-,"iECH74115_1262.ECH74115_0617,iECSP_1301.ECSP_0590,iECUMN_1333.ECUMN_0556,iECs_1301.ECs0578,iZ_1308.Z0671","M20_dimer,Peptidase_M20,Peptidase_M28"
b0517,U00096.3,545314,546363,-,allD,,ureidoglycolate dehydrogenase,AAC73619.1,316407.85674655,3.39e-253,694.0,"COG2055@1|root,COG2055@2|Bacteria,1MWQY@1224|Proteobacteria,1RSKW@1236|Gammaproteobacteria,3XQXU@561|Escherichia",2|Bacteria,C,AllD plays a pivotal role as a metabolic branch-point enzyme in nitrogen utilization via the assimilation of allantoin. It is able to utilize allantoin as a sole source of nitrogen under anaerobic conditions. Catalyzes the oxidation of ureidoglycolate to oxalurate,allD,"GO:0000255,GO:0000256,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006807,GO:0008150,GO:0008152,GO:0009040,GO:0009056,GO:0009442,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0017144,GO:0034641,GO:0042737,GO:0043603,GO:0043605,GO:0044237,GO:0044248,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0055114,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575","1.1.1.130,1.1.1.350","ko:K00073,ko:K08092,ko:K13574","ko00040,ko00053,ko00230,ko01120,map00040,map00053,map00230,map01120",-,"R02637,R02639,R02935,R02936","RC00169,RC00238","ko00000,ko00001,ko01000",-,-,"iEC042_1314.EC042_0560,iEC55989_1330.EC55989_4032,iECIAI1_1343.ECIAI1_3742,iECO103_1326.ECO103_4659,iECO111_1330.ECO111_4395,iECO26_1355.ECO26_5026,iECSE_1348.ECSE_3851,iECW_1372.ECW_m3849,iEKO11_1354.EKO11_0151,iSF_1195.SF3619,iSFxv_1172.SFxv_3943,iS_1188.S4150,iWFL_1372.ECW_m3849",Ldh_2
b0518,U00096.3,546680,548347,+,fdrA,,putative oxamate carbamoyltransferase FdrA,AAC73620.1,316407.85674656,0.0,1052.0,"COG0074@1|root,COG0074@2|Bacteria,1MWWN@1224|Proteobacteria,1RME7@1236|Gammaproteobacteria,3XQJD@561|Escherichia",2|Bacteria,C,multicopy suppressor of dominant negative ftsH,sucD,"GO:0001539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009361,GO:0009987,GO:0016310,GO:0019538,GO:0032991,GO:0036211,GO:0040011,GO:0042709,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045239,GO:0046777,GO:0048870,GO:0051179,GO:0051674,GO:0071704,GO:0071973,GO:0097588,GO:1901564,GO:1902494",6.2.1.5,"ko:K01902,ko:K02381","ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,iE2348C_1286.E2348C_0608,"CoA_binding,DUF1116,Ligase_CoA"
b4572,U00096.3,548357,549616,+,ylbE,,DUF1116 domain-containing protein YlbE,ABD18638.2,511145.b4572,3.09e-305,832.0,"COG0074@1|root,COG0074@2|Bacteria,1MX67@1224|Proteobacteria,1RQEG@1236|Gammaproteobacteria,3XQNV@561|Escherichia",2|Bacteria,C,Protein of unknown function (DUF1116),sucD,"GO:0001539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006928,GO:0008150,GO:0008152,GO:0009361,GO:0009987,GO:0016310,GO:0019538,GO:0032991,GO:0036211,GO:0040011,GO:0042709,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045239,GO:0046777,GO:0048870,GO:0051179,GO:0051674,GO:0071704,GO:0071973,GO:0097588,GO:1901564,GO:1902494",6.2.1.5,"ko:K01902,ko:K02381","ko00020,ko00640,ko00660,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map00660,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00173,M00374,M00620","R00405,R02404","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,iE2348C_1286.E2348C_0608,"CoA_binding,DUF1116,Ligase_CoA"
b0520,U00096.3,549627,550442,+,ylbF,,DUF2877 domain-containing protein YlbF,AAC73622.1,316407.85674657,1.78e-202,559.0,"2DBVD@1|root,2ZBAJ@2|Bacteria,1N0UA@1224|Proteobacteria,1S1HZ@1236|Gammaproteobacteria,3XQE1@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF2877),ylbF,-,-,-,-,-,-,-,-,-,-,-,DUF2877
b0521,U00096.3,550439,551332,+,ybcF,,putative carbamate kinase,AAC73623.1,316407.85674658,6.18e-207,573.0,"COG0549@1|root,COG0549@2|Bacteria,1MWXC@1224|Proteobacteria,1RP78@1236|Gammaproteobacteria,3XQ99@561|Escherichia",2|Bacteria,F,Belongs to the carbamate kinase family,arcC,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008804,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0019546,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606",2.7.2.2,ko:K00926,"ko00220,ko00230,ko00910,ko01100,ko01120,ko01200,map00220,map00230,map00910,map01100,map01120,map01200",-,"R00150,R01395","RC00002,RC00043,RC02803,RC02804","ko00000,ko00001,ko01000",-,-,"iE2348C_1286.E2348C_0454,iECED1_1282.ECED1_0540,iECIAI39_1322.ECIAI39_3289,iECUMN_1333.ECUMN_0561,iEcE24377_1341.EcE24377A_0559,iEcHS_1320.EcHS_A0383,iG2583_1286.G2583_0641,iJN746.PP_0999",AA_kinase
b0522,U00096.3,551527,552594,-,purK,,5-(carboxyamino)imidazole ribonucleotide synthase,AAC73624.1,316407.85674659,4.2e-266,727.0,"COG0026@1|root,COG0026@2|Bacteria,1MU70@1224|Proteobacteria,1RQEI@1236|Gammaproteobacteria,3XN0K@561|Escherichia",2|Bacteria,F,Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR),purK,"GO:0000166,GO:0003674,GO:0003824,GO:0004638,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016829,GO:0016830,GO:0016831,GO:0016874,GO:0016879,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034028,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",6.3.4.18,ko:K01589,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R07404,RC01927,"ko00000,ko00001,ko00002,ko01000",-,-,"iECUMN_1333.ECUMN_0562,iYL1228.KPN_00477",ATP-grasp
b0523,U00096.3,552591,553100,-,purE,,N(5)-carboxyaminoimidazole ribonucleotide mutase,AAC73625.1,316407.85674660,7.24e-113,324.0,"COG0041@1|root,COG0041@2|Bacteria,1RCWJ@1224|Proteobacteria,1S3VN@1236|Gammaproteobacteria,3XNQ8@561|Escherichia",2|Bacteria,F,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR),purE,"GO:0003674,GO:0003824,GO:0004638,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0016853,GO:0016866,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034023,GO:0034641,GO:0034654,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",5.4.99.18,ko:K01588,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R07405,RC01947,"ko00000,ko00001,ko00002,ko01000",-,-,"iETEC_1333.ETEC_0575,iJN746.PP_5336,iPC815.YPO3076,iUTI89_1310.UTI89_C0551",AIRC
b0524,U00096.3,553218,553940,-,lpxH,,UDP-2%2C3-diacylglucosamine diphosphatase,AAC73626.1,316407.85674661,3.04e-174,485.0,"COG2908@1|root,COG2908@2|Bacteria,1N3U7@1224|Proteobacteria,1RP1X@1236|Gammaproteobacteria,3XNT3@561|Escherichia",2|Bacteria,S,"Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell",lpxH,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0008758,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0019637,GO:0019897,GO:0019898,GO:0030145,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044459,GO:0044464,GO:0046467,GO:0046493,GO:0046872,GO:0046914,GO:0071704,GO:0071944,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509",3.6.1.54,ko:K03269,"ko00540,ko01100,map00540,map01100",M00060,R04549,RC00002,"ko00000,ko00001,ko00002,ko01000,ko01005",-,-,iE2348C_1286.E2348C_0457,"Metallophos,Metallophos_2"
b0525,U00096.3,553943,554437,-,ppiB,,peptidyl-prolyl cis-trans isomerase B,AAC73627.1,316407.85674662,6.53e-118,337.0,"COG0652@1|root,COG0652@2|Bacteria,1R9ZQ@1224|Proteobacteria,1S222@1236|Gammaproteobacteria,3XMU9@561|Escherichia",2|Bacteria,O,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,ppiB,"GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0030288,GO:0030313,GO:0031975,GO:0036211,GO:0042597,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0140096,GO:1901564","2.7.11.1,5.2.1.8","ko:K01802,ko:K03767,ko:K03768,ko:K08884","ko01503,ko04217,map01503,map04217",-,-,-,"ko00000,ko00001,ko01000,ko01001,ko03110,ko04147",-,-,-,Pro_isomerase
b0526,U00096.3,554611,555996,+,cysS,,cysteine--tRNA ligase,AAC73628.1,316407.85674663,0.0,933.0,"COG0215@1|root,COG0215@2|Bacteria,1MV8H@1224|Proteobacteria,1RP5K@1236|Gammaproteobacteria,3XMKF@561|Escherichia",2|Bacteria,J,Belongs to the class-I aminoacyl-tRNA synthetase family,cysS,"GO:0000166,GO:0001871,GO:0003674,GO:0003824,GO:0004812,GO:0004817,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006423,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009986,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030246,GO:0030247,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:2001065","6.1.1.16,6.3.1.13","ko:K01883,ko:K15526","ko00970,map00970","M00359,M00360",R03650,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,"iECUMN_1333.ECUMN_0566,iJN746.PP_2905","DALR_2,tRNA-synt_1e,tRNA-synt_1g"
b0527,U00096.3,556032,556553,-,ybcI,,PF04307 family inner membrane protein YbcI,AAC73629.1,316407.85674664,7.82e-128,362.0,"COG1988@1|root,COG1988@2|Bacteria,1RBHW@1224|Proteobacteria,1S2F9@1236|Gammaproteobacteria,3XPG8@561|Escherichia",2|Bacteria,S,"LexA-binding, inner membrane-associated putative hydrolase",ybcI,"GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0016020,GO:0031668,GO:0033554,GO:0044464,GO:0050896,GO:0051716,GO:0071496,GO:0071944",-,ko:K07038,-,-,-,-,ko00000,-,-,-,YdjM
b0528,U00096.3,556661,556873,-,ybcJ,,putative RNA-binding protein YbcJ,AAC73630.2,1440052.EAKF1_ch0925,1.3899999999999998e-42,139.0,"COG2501@1|root,COG2501@2|Bacteria,1N7NW@1224|Proteobacteria,1SCJU@1236|Gammaproteobacteria,3XQ0A@561|Escherichia",2|Bacteria,S,translation,yaaA,"GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K14761,-,-,-,-,"ko00000,ko03009",-,-,-,S4_2
b0529,U00096.3,556875,557741,-,folD,,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,AAC73631.1,316407.85674666,1.25e-206,571.0,"COG0190@1|root,COG0190@2|Bacteria,1MWU4@1224|Proteobacteria,1RNSW@1236|Gammaproteobacteria,3XMYB@561|Escherichia",2|Bacteria,F,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",folD,"GO:0003674,GO:0003824,GO:0004477,GO:0004486,GO:0004488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016645,GO:0016646,GO:0016787,GO:0016810,GO:0016814,GO:0019238,GO:0019752,GO:0034641,GO:0042558,GO:0043436,GO:0043603,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051186,GO:0055114,GO:0071704,GO:1901360,GO:1901564","1.5.1.5,3.5.4.9",ko:K01491,"ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200","M00140,M00377","R01220,R01655","RC00202,RC00578","ko00000,ko00001,ko00002,ko01000",-,-,iSDY_1059.SDY_0281,"THF_DHG_CYH,THF_DHG_CYH_C"
b0530,U00096.3,558212,558754,+,sfmA,,putative fimbrial protein SfmA,AAC73632.2,316407.85674667,1.55e-117,337.0,"COG3539@1|root,COG3539@2|Bacteria,1QI7Y@1224|Proteobacteria,1S07V@1236|Gammaproteobacteria,3XQCR@561|Escherichia",2|Bacteria,NU,Part of the sfmACDHF fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes,fimA,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0007155,GO:0008150,GO:0009289,GO:0022610,GO:0042802,GO:0042995,GO:0044464",-,"ko:K07345,ko:K07352","ko05133,map05133",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,Fimbrial
b0531,U00096.3,558974,559666,+,sfmC,,putative fimbrial chaperone SfmC,AAC73633.1,316407.85674668,1.23e-159,447.0,"COG3121@1|root,COG3121@2|Bacteria,1R3T9@1224|Proteobacteria,1RS56@1236|Gammaproteobacteria,3XQNQ@561|Escherichia",2|Bacteria,NU,Part of the sfmACDHF fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes,sfmC,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006457,GO:0006950,GO:0006974,GO:0007155,GO:0008150,GO:0009987,GO:0016043,GO:0022610,GO:0030030,GO:0030288,GO:0030313,GO:0031975,GO:0033554,GO:0042597,GO:0043711,GO:0044183,GO:0044464,GO:0050896,GO:0051716,GO:0061077,GO:0071840",-,"ko:K07346,ko:K07353,ko:K15540",-,-,-,-,"ko00000,ko02035,ko02044,ko03110",-,-,-,"PapD_C,PapD_N"
